epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6355,1.94353,3.22984,1.93615,0.49572,0.26871,0.24474,0.15671,1.97403,2.63303,2.07942,0.000235776,0.000235776,0.000235776
2,75.9221,1.72199,2.21889,1.72407,0.47058,0.30044,0.2916,0.19317,1.92789,2.27047,2.00525,0.000465958,0.000465958,0.000465958
3,106.441,1.73047,2.14375,1.74305,0.44865,0.28937,0.23738,0.15124,2.02178,2.56877,2.04728,0.000688287,0.000688287,0.000688287
4,135.913,1.69338,2.08714,1.70998,0.57158,0.3165,0.30719,0.19782,1.9066,2.2188,2.03246,0.000678657,0.000678657,0.000678657
5,170.498,1.66771,2.01675,1.69922,0.63499,0.28982,0.27576,0.1851,1.84153,2.22517,1.90344,0.000666876,0.000666876,0.000666876
6,205.043,1.59826,1.93498,1.65124,0.63081,0.34315,0.33784,0.23404,1.7957,2.07745,1.89368,0.000655095,0.000655095,0.000655095
7,239.063,1.57726,1.88621,1.63638,0.59723,0.31586,0.30592,0.20681,1.82211,2.17269,1.9483,0.000643314,0.000643314,0.000643314
8,272.967,1.5688,1.90346,1.63483,0.63606,0.34214,0.33793,0.22761,1.77831,2.03628,1.89854,0.000631533,0.000631533,0.000631533
9,307.438,1.55758,1.8877,1.62761,0.56131,0.34929,0.32136,0.21852,1.76524,2.07831,1.89599,0.000619752,0.000619752,0.000619752
10,341.744,1.55662,1.85558,1.62594,0.57921,0.34474,0.32839,0.2216,1.76452,2.07379,1.85782,0.000607971,0.000607971,0.000607971
11,376.559,1.51488,1.80906,1.58949,0.60008,0.35279,0.33308,0.2315,1.70833,2.02993,1.86195,0.00059619,0.00059619,0.00059619
12,411.526,1.48356,1.75708,1.58511,0.67267,0.34145,0.35973,0.24916,1.73286,1.98784,1.88341,0.000584409,0.000584409,0.000584409
13,445.659,1.4794,1.75354,1.58283,0.53593,0.36068,0.36454,0.25188,1.72099,2.00317,1.86602,0.000572628,0.000572628,0.000572628
14,481.591,1.44274,1.72886,1.55345,0.5239,0.3624,0.35029,0.24847,1.69797,1.96152,1.8255,0.000560847,0.000560847,0.000560847
15,515.882,1.47531,1.74291,1.56619,0.6711,0.32818,0.35727,0.24431,1.7159,2.00147,1.84817,0.000549066,0.000549066,0.000549066
16,551.182,1.45011,1.70283,1.54713,0.51887,0.36973,0.35666,0.25938,1.69955,1.96439,1.83934,0.000537285,0.000537285,0.000537285
17,585.337,1.43616,1.69338,1.53881,0.53898,0.35305,0.35305,0.24663,1.68849,1.96898,1.85389,0.000525504,0.000525504,0.000525504
18,619.398,1.41825,1.67882,1.52438,0.48975,0.3734,0.37155,0.26663,1.6811,1.90631,1.83983,0.000513723,0.000513723,0.000513723
19,654.564,1.39321,1.6451,1.51595,0.61101,0.34272,0.36702,0.25863,1.69914,1.94836,1.82148,0.000501942,0.000501942,0.000501942
20,687.479,1.43581,1.69,1.54481,0.58789,0.36065,0.37377,0.26093,1.71761,1.95358,1.81492,0.000490161,0.000490161,0.000490161
21,723.769,1.34954,1.55767,1.47233,0.52187,0.39514,0.37217,0.26239,1.6654,1.94236,1.83402,0.00047838,0.00047838,0.00047838
22,758.779,1.36837,1.59442,1.49374,0.5373,0.36402,0.37025,0.26172,1.68794,1.9309,1.84024,0.000466599,0.000466599,0.000466599
23,793.952,1.36995,1.57624,1.49661,0.5423,0.35773,0.36786,0.25711,1.69338,1.94673,1.82398,0.000454818,0.000454818,0.000454818
24,826.963,1.34638,1.55568,1.47913,0.56056,0.34765,0.37409,0.26356,1.65704,1.88786,1.8146,0.000443037,0.000443037,0.000443037
25,861.322,1.32847,1.53538,1.46283,0.57515,0.3863,0.37604,0.27108,1.62128,1.87569,1.79322,0.000431256,0.000431256,0.000431256
26,896.385,1.34133,1.53441,1.47277,0.57833,0.36409,0.37327,0.26723,1.65684,1.88968,1.8239,0.000419475,0.000419475,0.000419475
27,931.548,1.32133,1.53525,1.46749,0.59099,0.34251,0.35672,0.25637,1.66655,1.91129,1.79044,0.000407694,0.000407694,0.000407694
28,966.745,1.33355,1.54062,1.47026,0.59025,0.36128,0.37747,0.27052,1.6409,1.88109,1.77099,0.000395913,0.000395913,0.000395913
29,1001.27,1.30239,1.50593,1.44736,0.58471,0.3573,0.37279,0.26614,1.65774,1.92592,1.81388,0.000384132,0.000384132,0.000384132
30,1034.74,1.28374,1.45617,1.43808,0.53249,0.37508,0.3717,0.26808,1.66187,1.89494,1.801,0.000372351,0.000372351,0.000372351
31,1067.63,1.29427,1.47819,1.44827,0.54132,0.37716,0.3751,0.27042,1.63538,1.92889,1.80025,0.00036057,0.00036057,0.00036057
32,1099.98,1.25352,1.43224,1.41774,0.56018,0.37228,0.36802,0.26258,1.67239,1.9428,1.82944,0.000348789,0.000348789,0.000348789
33,1130.67,1.25859,1.44663,1.42113,0.59487,0.37379,0.38996,0.28366,1.64615,1.93188,1.81468,0.000337008,0.000337008,0.000337008
34,1165.33,1.25915,1.42857,1.41855,0.60572,0.3711,0.3911,0.28097,1.65804,1.85001,1.79268,0.000325227,0.000325227,0.000325227
35,1200.74,1.26144,1.43425,1.42574,0.61093,0.36092,0.38277,0.27729,1.66741,1.90769,1.81638,0.000313446,0.000313446,0.000313446
36,1235.65,1.21854,1.3709,1.39512,0.58278,0.3653,0.37877,0.26971,1.66398,1.90348,1.81722,0.000301665,0.000301665,0.000301665
37,1268.03,1.22775,1.38944,1.40253,0.5381,0.39082,0.37745,0.2714,1.65515,1.90285,1.8021,0.000289884,0.000289884,0.000289884
38,1303.96,1.21607,1.36384,1.38743,0.53484,0.3701,0.37497,0.27069,1.65797,1.89769,1.82688,0.000278103,0.000278103,0.000278103
39,1338.54,1.20873,1.34425,1.38637,0.52964,0.38731,0.36344,0.25896,1.6635,1.89889,1.81626,0.000266322,0.000266322,0.000266322
40,1373.05,1.20672,1.35521,1.38907,0.57729,0.36859,0.37673,0.27248,1.63447,1.88099,1.80051,0.000254541,0.000254541,0.000254541
41,1407.49,1.18285,1.30587,1.36233,0.5894,0.36905,0.37085,0.26965,1.64954,1.91282,1.80598,0.00024276,0.00024276,0.00024276
42,1441.73,1.2175,1.36326,1.39197,0.64712,0.37647,0.39077,0.28438,1.65696,1.8778,1.80902,0.000230979,0.000230979,0.000230979
43,1476.13,1.14779,1.26871,1.34347,0.66283,0.36543,0.38428,0.27894,1.6629,1.89574,1.8156,0.000219198,0.000219198,0.000219198
44,1512.28,1.17022,1.29437,1.36134,0.63285,0.35065,0.37346,0.27078,1.68206,1.90052,1.82084,0.000207417,0.000207417,0.000207417
45,1548.14,1.16164,1.27012,1.35484,0.64099,0.36513,0.38205,0.27726,1.66401,1.92902,1.81081,0.000195636,0.000195636,0.000195636
46,1585.19,1.14037,1.23292,1.33707,0.64809,0.37592,0.38853,0.28382,1.67066,1.90343,1.83636,0.000183855,0.000183855,0.000183855
47,1621.16,1.13827,1.23574,1.33448,0.62449,0.36398,0.37761,0.27583,1.67254,1.94999,1.8216,0.000172074,0.000172074,0.000172074
48,1655.51,1.15305,1.23147,1.33933,0.55864,0.39073,0.38409,0.27959,1.68679,1.94355,1.83446,0.000160293,0.000160293,0.000160293
49,1690.87,1.12879,1.20964,1.32895,0.5998,0.36457,0.37313,0.27166,1.69855,1.95344,1.8399,0.000148512,0.000148512,0.000148512
50,1725.42,1.10631,1.20077,1.31071,0.70506,0.36497,0.39858,0.29184,1.67226,1.92608,1.82855,0.000136731,0.000136731,0.000136731
51,1776.75,1.12311,1.19927,1.3684,0.67627,0.36837,0.38653,0.28175,1.70284,1.95005,1.86247,0.00012495,0.00012495,0.00012495
52,1810.73,1.07117,1.1206,1.32557,0.67078,0.3565,0.38661,0.28239,1.67751,1.89924,1.82981,0.000113169,0.000113169,0.000113169
53,1845.38,1.05901,1.08401,1.31683,0.68352,0.34204,0.37419,0.27183,1.71636,1.96705,1.86369,0.000101388,0.000101388,0.000101388
54,1879.79,1.05325,1.07552,1.32284,0.68719,0.35731,0.3768,0.2762,1.71812,1.96573,1.86252,8.9607e-05,8.9607e-05,8.9607e-05
55,1914.35,1.04683,1.04989,1.31218,0.71059,0.35181,0.38401,0.27988,1.70533,1.95575,1.85333,7.7826e-05,7.7826e-05,7.7826e-05
56,1948.5,1.01716,1.02084,1.29781,0.65543,0.36834,0.38061,0.28264,1.70743,1.96667,1.86147,6.6045e-05,6.6045e-05,6.6045e-05
57,1981.39,1.02604,1.01635,1.30558,0.67515,0.34734,0.37134,0.27335,1.71446,2.00534,1.87216,5.4264e-05,5.4264e-05,5.4264e-05
58,2009,1.00769,0.9874,1.27803,0.68376,0.36094,0.38125,0.28123,1.71077,1.97716,1.87587,4.2483e-05,4.2483e-05,4.2483e-05
59,2036.59,1.00162,0.99076,1.28544,0.63996,0.35953,0.37382,0.27609,1.71789,2.00701,1.88052,3.0702e-05,3.0702e-05,3.0702e-05
60,2063.95,0.98786,0.96449,1.27235,0.63756,0.35763,0.37042,0.27276,1.7139,2.00603,1.87249,1.8921e-05,1.8921e-05,1.8921e-05
